                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.1391,                 7.3785,                 3.6254,                0.00833,                0.19231,                0.00528,                0.00101,                  3.739,                  3.666,                 2.9463,                0.00018,                0.00018,                0.00018
                      2,                 3.3731,                 3.7469,                 2.8662,                0.04886,                0.20192,                 0.0286,                0.00649,                 3.4009,                 2.8684,                 2.4261,             0.00033298,             0.00033298,             0.00033298
                      3,                 2.9256,                 2.8576,                 2.2558,                0.07369,                0.30769,                 0.0587,                0.01484,                 2.9316,                 4.3222,                 1.9861,             0.00043645,             0.00043645,             0.00043645
                      4,                 2.7176,                 2.4438,                 1.9495,                0.08221,                   0.25,                0.05676,                0.01621,                 2.7344,                 5.8561,                 1.8749,             0.00049043,             0.00049043,             0.00049043
                      5,                 2.5545,                  2.248,                 1.8416,                0.13928,                0.25962,                0.13134,                0.04001,                 2.2933,                 3.2868,                 1.5781,              0.0004949,              0.0004949,              0.0004949
                      6,                 2.3009,                 2.1228,                 1.6943,                0.17498,                0.36538,                0.17674,                0.05353,                 2.2513,                 2.4337,                 1.5171,             0.00044987,             0.00044987,             0.00044987
                      7,                 2.2473,                 2.1449,                 1.6616,                0.17498,                0.36538,                0.17674,                0.05353,                 2.2513,                 2.4337,                 1.5171,             0.00035535,             0.00035535,             0.00035535
                      8,                 2.2487,                 2.1092,                  1.661,                0.22528,                 0.4222,                0.20294,                0.06233,                 2.2464,                 2.1117,                 1.5108,             0.00021132,             0.00021132,             0.00021132
